gemeindecode_cbs,gemeindename,longitude,latitude
0917,Heerlen,5.969413525484928,50.89333561774666
0928,Kerkrade,6.050979284586291,50.871828662364706
0935,Maastricht,5.699531713519336,50.85297512183557
0938,Meerssen,5.756319851031707,50.90131828095509
0944,Mook en Middelaar,5.899658763649494,51.74736972921407
0946,Nederweert,5.773315637487554,51.294358331427254
0957,Roermond,6.011493292265668,51.2011957026464
0965,Simpelveld,5.986638602552499,50.828806423718156
0971,Stein,5.763669333251456,50.96900050952032
0981,Vaals,5.975845323474697,50.77433521829317
0983,Venlo,6.159151816389326,51.391007925627044
0984,Venray,5.962899845994226,51.51536279476611
0986,Voerendaal,5.916492536027725,50.869367237619485
0988,Weert,5.691695139569678,51.233610221468695
0994,Valkenburg aan de Geul,5.823865904484847,50.860710776273805
0995,Lelystad,5.471265346916473,52.47881264857976
1507,Horst aan de Maas,6.041693787200887,51.444866277456185
1509,Oude IJsselstreek,6.40953416656163,51.90783909412099
1525,Teylingen,4.511897997677848,52.21400160735367
1581,Utrechtse Heuvelrug,5.3882892522297485,52.034706085068215
1586,Oost Gelre,6.575753400891029,52.009833998778134
1598,Koggenland,4.948149279003455,52.64469202655993
1621,Lansingerland,4.506121644492272,52.00401493772066
1640,Leudal,5.884875218550301,51.2394547356532
1641,Maasgouw,5.882404574867012,51.161582361070195
1652,Gemert-Bakel,5.754279299176368,51.54075483096307
1655,Halderberge,4.523117766916854,51.59053678970054
1658,Heeze-Leende,5.567263355146833,51.360874405584276
1659,Laarbeek,5.611767089667693,51.5309230348039
1667,Reusel-De Mierden,5.1477404324668115,51.37827314041693
1669,Roerdalen,6.041117790578448,51.14568703079486
1674,Roosendaal,4.4245177852485975,51.51319770301785
1676,Schouwen-Duiveland,3.901008416651148,51.68722680867793
1680,Aa en Hunze,6.727330005135076,52.993024189763894
1681,Borger-Odoorn,6.871991460484614,52.90589556609425
1690,De Wolden,6.373419020773109,52.70169425513329
1695,Noord-Beveland,3.7720536993669667,51.574072272989504
1696,Wijdemeren,5.08483994269683,52.226195709844
1699,Noordenveld,6.440336532460914,53.09568338042586
1700,Twenterand,6.59805908489994,52.44788635239714
1701,Westerveld,6.295534511527225,52.838203530185986
1705,Lingewaard,5.942222673207815,51.90153683363534
